index,x,y
88,3129,82.27631578947368
89,3590,81.85526315789474
90,91,121.88157894736842
91,891,119.78947368421052
92,978,121.76315789473684
93,1105,120.72368421052632
94,1115,121.02631578947368
95,1202,119.43421052631578
96,1326,119.48684210526315
97,1380,150.6578947368421
98,1419,157.42105263157896
99,1571,121.30263157894737
100,1782,125.68421052631578
101,1892,121.01315789473685
102,2004,126.02631578947368
103,2111,120.9342105263158
104,2230,124.28947368421052
105,2332,122.35526315789474
106,2454,121.97368421052632
107,2536,120.82894736842105
108,2547,121.48684210526315
109,2749,121.25
110,2799,153.17105263157896
111,2840,153.2763157894737
112,2854,126.40789473684211
113,3055,125.63157894736842
114,3130,121.26315789473684
115,3915,119.52631578947368
116,92,160.4078947368421
117,334,157.38157894736844
118,891,158.96052631578948
119,978,158.98684210526315
120,1105,158.55263157894737
121,1117,158.78947368421052
122,1324,157.39473684210526
123,1379,188.8421052631579
124,1419,194.9078947368421
125,1572,159.5921052631579
126,1682,157.3684210526316
127,1782,161.9078947368421
128,2004,164.69736842105263
129,2112,159.35526315789474
130,2230,160.9736842105263
131,2309,158.96052631578948
132,2332,159.35526315789474
133,2454,160.3421052631579
134,2537,161.32894736842104
135,2547,159.60526315789474
136,2750,158.98684210526315
137,2800,191.35526315789474
138,2839,190.68421052631578
139,2854,164.25
140,3055,163.51315789473685
141,3130,160.51315789473685
142,3590,158.38157894736844
143,91,198.4078947368421
144,892,196.76315789473685
145,980,196.56578947368422
146,1105,196.3815789473684
147,1116,196.80263157894737
148,1309,195.69736842105263
149,1326,195.26315789473685
150,1380,227.18421052631578
151,1419,233.19736842105263
152,1572,198.01315789473685
153,1783,200.8684210526316
154,1894,197.3421052631579
155,2005,200.76315789473685
156,2112,196.80263157894737
157,2231,198.61842105263156
158,2334,197.28947368421052
159,2454,197.94736842105263
160,2537,198.56578947368422
161,2548,197.28947368421052
162,2668,195.7763157894737
163,2751,197.3815789473684
164,2799,228.71052631578948
165,2839,229.13157894736844
166,2855,202.30263157894737
167,3055,200.10526315789474
168,3131,197.82894736842104
169,3942,196.5921052631579
170,92,236.42105263157896
171,892,235.0
172,980,234.27631578947367
173,1106,234.56578947368422
174,1118,234.46052631578948
175,1379,265.14473684210526
176,1419,271.32894736842104
177,1573,236.01315789473685
178,1784,238.48684210526315
179,1895,234.39473684210526
180,2005,239.5
181,2115,235.01315789473685
182,2232,239.07894736842104
183,2334,235.85526315789474
184,2455,235.80263157894737
185,2537,236.76315789473685
186,2548,235.21052631578948
187,2669,234.05263157894737
188,2751,235.28947368421052
189,2799,266.1578947368421
190,2839,266.6842105263158
191,2854,239.57894736842104
192,2929,233.76315789473685
193,3055,239.94736842105263
194,3130,236.1184210526316
195,92,275.11842105263156
196,894,272.8421052631579
197,980,272.5
198,1106,273.07894736842104
199,1117,273.0
200,1327,271.9342105263158
201,1380,303.11842105263156
202,1419,308.67105263157896
203,1573,274.67105263157896
204,1784,277.42105263157896
205,1895,272.75
206,2006,276.14473684210526
