index,x,y
435,2590,614.0394736842105
436,2603,615.1184210526316
437,2799,656.3815789473684
438,2839,647.0526315789474
439,2928,619.828947368421
440,3005,613.8947368421053
441,3126,619.671052631579
442,164,654.1578947368421
443,955,653.171052631579
444,1040,652.8421052631579
445,1174,652.8552631578947
446,1379,686.9342105263158
447,1419,689.4473684210526
448,1453,651.7894736842105
449,1650,654.9868421052631
450,1857,660.1052631578947
451,2073,655.7631578947369
452,2180,654.4736842105264
453,2294,655.4473684210526
454,2395,652.6184210526316
455,2512,654.2236842105264
456,2589,652.7763157894736
457,2602,653.8421052631579
458,2718,651.9078947368421
459,2799,694.4868421052631
460,2839,684.8157894736842
461,2929,658.3026315789474
462,3126,657.578947368421
463,3200,652.7105263157895
464,164,692.2368421052631
465,957,690.9736842105264
466,1040,691.2105263157895
467,1066,689.75
468,1175,692.4342105263158
469,1379,725.0921052631579
470,1419,727.1315789473684
471,1649,693.8026315789474
472,1857,696.4605263157895
473,1966,689.9078947368421
474,2074,694.9736842105264
475,2180,692.2894736842105
476,2294,693.0263157894736
477,2395,691.7105263157895
478,2512,692.4078947368421
479,2590,690.5526315789474
480,2603,692.4342105263158
481,2799,733.3026315789474
482,2839,723.0263157894736
483,2928,697.2763157894736
484,3004,689.5131578947369
485,3127,695.3157894736842
486,3201,692.3157894736842
487,164,730.9473684210526
488,958,728.7631578947369
489,1041,729.2894736842105
490,1175,729.75
491,1379,765.421052631579
492,1419,765.2631578947369
493,1650,731.921052631579
494,1857,735.3026315789474
495,2074,733.0526315789474
496,2181,729.6052631578947
497,2296,729.1052631578947
498,2395,730.6842105263158
499,2513,731.828947368421
500,2603,729.5526315789474
501,2799,772.7236842105264
502,2840,761.7368421052631
503,2930,734.5921052631579
504,3004,729.0
505,3127,733.7236842105264
506,3201,729.1052631578948
507,164,768.5
508,958,767.4736842105264
509,1041,768.1184210526316
510,1175,767.9473684210526
511,1379,804.1052631578947
512,1419,802.828947368421
513,1650,769.4605263157895
514,1858,773.1447368421052
515,1967,766.5394736842105
516,2075,772.671052631579
517,2181,767.7105263157895
518,2296,768.0657894736842
519,2396,767.6842105263158
520,2513,767.671052631579
521,2602,766.9605263157895
522,2799,809.8684210526316
523,2839,799.328947368421
524,2929,771.1447368421053
525,3005,765.6052631578947
526,3127,770.2894736842105
527,3138,766.0921052631579
528,3201,766.8815789473684
529,3645,765.9605263157895
530,165,806.6842105263158
531,958,806.75
532,1041,805.6842105263158
533,1176,805.578947368421
534,1379,842.6973684210526
535,1419,841.1052631578948
536,1456,803.9605263157895
537,1651,808.2105263157895
538,1858,810.3421052631579
539,2076,810.2236842105264
540,2182,805.171052631579
541,2296,807.9473684210526
542,2396,806.6184210526316
543,2513,806.921052631579
544,2603,805.5263157894736
545,2720,803.9605263157895
546,2799,849.0657894736842
547,2839,837.9473684210526
548,2930,810.75
549,3006,803.671052631579
550,3127,808.6578947368421
551,3138,803.8815789473684
552,3202,805.4473684210526
553,166,844.6447368421053
554,959,843.2894736842105
555,1042,843.578947368421
556,1176,843.7631578947369
557,1379,881.2368421052631
558,1419,879.5657894736842
559,1456,842.2894736842105
560,1651,846.1842105263158
561,1858,847.9868421052631
562,1967,841.75
563,2076,848.8552631578947
